ID,Sender_IP,Sender_Port,Target_IP,Target_Port,Transport_Protocol,Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class
10.42.0.211-52.84.1.164-53281-80-6,147.32.84.180,2339,64.12.90.65,25,1,2.92,1.659631902,0,0,192,0,0,0,0,4,0,0,1
183.79.249.252-10.42.0.211-80-35053-6,192.168.2.112,1923,78.31.111.9,80,1,6.54,3.187333333,60,59.2,268,253,4632.133333,421,0,5,4,0.8,1
211.103.34.67-10.42.0.211-10000-43857-6,192.168.2.106,3311,208.111.160.6,80,1,1.91,1.124351852,76,75.29166667,276,3699,2644.388889,3947,0,5,6,1.2,1
10.42.0.211-66.231.239.122-41603-80-6,147.32.84.130,1468,147.32.87.22,135,1,0,0,0,0,96,0,0,40,0,2,1,0.5,1
172.217.10.46-10.42.0.42-443-58276-6,192.168.5.122,42663,198.164.30.2,53,2,0.06,0.218568665,45,48.01844964,73,175,234.3900461,203,0,1,1,1,1
10.42.0.42-37.1.204.175-53252-80-6,192.168.4.120,3083,209.62.20.192,80,1,0.3,1.254017857,99,208.2142857,347,3595,17252.58036,3839,0,6,6,1,1
172.217.10.110-10.42.0.151-443-39545-6,192.168.1.102,3059,64.14.51.228,80,1,0.37,1.114819277,67,60.63855422,355,6162,10582.45783,6490,0,7,8,1.142857143,0
180.149.134.142-10.42.0.211-80-34861-6,172.16.2.11,32245,89.159.107.78,10072,2,33.99,32.19566667,100,99.3,212,6,56.8,90,0,4,3,0.75,0
10.42.0.211-98.139.199.204-40855-443-6,80.66.211.179,37233,192.168.5.122,22,1,3.66,5.733906977,621,593.1209302,1305,1731,1649.795349,2519,0,13,15,1.153846154,1
10.42.0.211-10.42.0.1-11812-53-17,172.16.2.11,32245,84.32.145.44,31868,2,22.31,22.30214286,75,75,159,6,4.857142857,90,0,3,3,1,0
10.42.0.211-10.42.0.1-65382-53-17,147.32.84.180,2514,80.12.204.241,25,1,3.01,3.01,0,0,96,0,0,0,0,2,0,0,1
172.217.10.99-10.42.0.151-443-36768-6,147.32.84.130,3069,147.33.84.181,135,1,0,0,0,0,96,0,0,0,0,2,0,0,1
202.77.129.150-10.42.0.211-80-40334-6,192.168.2.107,2141,109.86.25.208,48412,1,51.14,37.83413043,165,155.2173913,2285,98382,65778.28261,101262,0,53,72,1.358490566,0
172.217.10.14-10.42.0.211-443-45641-6,147.32.84.170,3890,125.31.125.191,22,1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-66.198.24.240-49766-443-6,192.168.1.103,2275,78.136.20.64,80,1,0.59,0.979865772,161,141.4228188,529,10186,11280.33557,10634,0,9,11,1.222222222,0
10.42.0.42-119.146.74.34-33231-80-6,158.65.110.24,40410,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
172.217.12.173-10.42.0.42-443-58297-17,147.32.84.180,2989,184.82.148.44,80,1,0.23,0.222587413,298,294.7552448,506,621,600.6083916,829,0,5,5,1,1
10.42.0.151-121.12.98.63-45073-80-6,192.168.3.117,2655,72.14.204.96,443,1,0.42,13.86421053,481,161.2105263,769,2411,728.7894737,2659,0,7,6,0.857142857,0
10.42.0.211-31.13.71.1-41335-443-6,147.32.84.160,11885,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
10.42.0.1-10.42.0.42-53-2103-17,147.32.84.150,2123,65.55.92.152,25,1,3,1.591971831,0,0,192,0,0,0,0,4,0,0,1
172.217.12.174-10.42.0.211-443-41158-6,172.16.0.11,10996,212.95.7.75,53,2,0.06,0.2640539,26,35.32282745,54,301,243.6849378,329,0,1,1,1,0
180.149.136.194-10.42.0.211-443-40289-6,66.249.73.56,41696,158.65.110.24,80,1,0.85,0.904045894,244,243.5615942,772,9095,9547.653986,9519,244,10,8,0.8,1
172.217.12.195-10.42.0.211-443-55124-6,147.32.84.180,4093,206.46.232.11,25,1,0,1.894310345,0,0,96,0,0,0,0,2,0,0,1
172.217.12.193-10.42.0.211-443-42756-6,147.32.84.160,6141,94.100.176.20,25,1,3,1.48261811,0,0,192,0,0,0,0,4,0,0,1
10.42.0.211-31.13.65.7-43200-443-6,147.32.96.45,2148,147.32.84.180,21,1,0,0.040793651,0,0,60,0,0,80,0,1,2,2,1
10.42.0.211-66.102.255.40-51872-443-6,147.32.84.170,1981,124.146.227.20,22,1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
169.55.67.252-10.42.0.211-443-53195-6,147.32.84.160,12620,173.192.170.88,80,1,38.95,18.0246729,227,157.5831776,1110,2116,861.2785047,2444,0,16,8,0.5,1
10.42.0.42-104.192.110.245-36031-443-6,172.16.2.11,32245,200.55.212.58,24006,2,10.99,11.06666667,50,50,106,0,0,0,0,2,0,0,0
10.42.0.151-104.244.43.99-50055-443-6,192.168.4.120,3994,203.73.24.75,80,1,0.48,0.904952978,107,105.7335423,395,4661,6050.194357,4949,0,7,7,1,1
151.101.1.140-10.42.0.151-80-60118-6,172.16.2.11,32245,79.126.177.122,16432,2,55.52,40.01263158,150,118.3157895,318,12,121.9473684,180,0,6,6,1,0
10.42.0.211-52.84.134.65-39975-443-6,172.16.2.11,32245,88.250.229.202,29067,2,11.53,20.13769231,50,64.38461538,106,4,14,60,0,2,2,1,0
10.42.0.211-10.42.0.1-57694-53-17,172.16.0.11,22252,71.65.219.102,26700,2,0.48,7.755714286,25,37.5,53,2,2.428571429,30,0,1,1,1,0
172.217.9.234-10.42.0.211-443-60212-6,192.168.2.107,2485,192.168.5.122,22,1,5.23,2.063663366,654,852311.9653,1022,1679,1742.138614,4422,0,9,27,3,1
10.42.0.211-10.42.0.1-9212-53-17,147.32.84.180,4982,46.4.36.120,443,1,0.03,0.202842975,0,0,48,0,0,40,0,1,1,1,1
10.42.0.211-10.42.0.1-62352-53-17,172.16.0.11,22252,69.122.254.90,5860,2,0.18,9.46,25,45.45454545,53,2,87.45454545,30,0,1,1,1,0
183.60.1.79-10.42.0.211-80-60075-6,192.168.5.122,44534,198.164.30.2,53,2,0.31,0.218568665,43,48.01844964,71,270,234.3900461,298,0,1,1,1,1
180.76.145.14-10.42.0.211-80-45079-6,192.168.4.120,4791,210.133.103.230,443,1,11.56,10.53224638,1015,204.6594203,1623,5679,30835.21739,6163,0,15,12,0.8,1
10.42.0.211-23.23.242.24-38764-443-6,158.65.110.24,37101,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
208.80.154.224-10.42.0.151-443-42305-6,192.168.3.115,1898,70.42.27.130,80,1,16.36,10.664,184,142.4,544,10852,10862.4,11292,0,9,11,1.222222222,0
10.42.0.42-123.125.29.138-42227-443-6,147.32.84.170,2859,111.89.142.168,80,1,2.03,2.03,0,0,336,0,0,128,0,8,3,0.375,1
10.42.0.151-10.42.0.1-35665-53-17,192.168.2.108,3195,80.69.31.115,80,1,26.03,18.58560606,224,233.2424242,512,2139,6066.522727,2383,0,7,6,0.857142857,0
198.11.136.24-10.42.0.211-443-33406-6,172.16.2.11,32245,201.75.194.20,9566,2,12.02,34.17241379,50,100.6551724,106,4,31.24137931,60,0,2,2,1,0
10.42.0.211-54.230.36.186-34867-443-6,147.32.84.180,4163,173.241.240.4,80,1,0.13,0.073034483,869,801.4965517,1077,796,735.6137931,960,0,5,4,0.8,1
10.42.0.211-69.147.82.61-43771-443-6,192.168.3.114,4678,203.73.24.75,80,1,0.49,1.312883487,125,99.81978206,413,5807,5356.867561,6095,0,7,7,1,1
10.42.0.211-123.125.115.164-43270-443-6,192.168.1.104,16128,157.150.34.32,80,1,1.48,0.77,85,42.5,3173,185918,92959,191322,0,77,135,1.753246753,0
10.42.0.211-10.42.0.1-52567-53-17,147.32.84.160,4263,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
10.42.0.211-23.21.51.186-38413-443-6,66.249.73.56,38428,158.65.110.24,80,1,0.78,0.904045894,244,243.5615942,772,9096,9547.653986,9520,244,10,8,0.8,1
10.42.0.151-31.13.80.5-56541-443-6,192.168.1.102,2661,72.41.81.111,80,1,2.55,11.4777,0,352.465,80,0,27796.755,0,0,2,0,0,0
10.42.0.211-54.239.17.112-57805-443-6,158.65.110.24,39089,199.59.149.230,80,1,0.56,0.324944945,155,149.7172172,423,1204,1259.554555,1472,1359,5,5,1,1
202.77.129.150-10.42.0.211-80-45488-6,131.202.240.218,46122,192.168.5.122,80,1,0.03,0.1112,116,115.42,384,770,766.15,1038,0,5,5,1,1
10.42.0.211-10.42.0.1-46449-53-17,172.16.2.11,14893,10.0.0.254,53,2,0.05,0.725262759,33,86.91753748,61,49,189.2577616,77,0,1,1,1,0
180.149.153.68-10.42.0.211-80-44820-6,192.168.4.120,3816,210.133.103.230,80,1,8.25,10.53224638,76,204.6594203,236,0,30835.21739,120,0,4,3,0.75,1
10.42.0.1-10.42.0.42-53-7030-17,192.168.2.106,3758,142.176.121.85,80,1,10.5,8.69,396,565.5,1452,43512,77756.75,46300,0,25,33,1.32,0
172.217.10.106-10.42.0.151-443-53261-6,172.16.2.11,32245,203.90.117.206,7198,2,11.03,11.14,50,50,106,0,0,0,0,2,0,0,0
10.42.0.1-10.42.0.42-53-43363-17,147.32.84.160,4599,209.86.93.228,25,1,0,1.491428571,0,0,96,0,0,0,0,2,0,0,1
172.217.11.42-10.42.0.211-443-39075-6,192.168.5.122,50455,198.164.30.2,53,2,0.01,0.218568665,47,48.01844964,75,385,234.3900461,413,0,1,1,1,1
172.217.3.35-10.42.0.42-80-48157-6,192.168.5.122,14094,198.164.30.2,53,2,0.33,0.218568665,49,48.01844964,77,195,234.3900461,223,0,1,1,1,0
172.217.12.138-10.42.0.211-443-39971-6,85.17.29.107,53843,158.65.110.24,80,1,1.11,2.135946667,367,350.6146667,791,4449,9655.981333,4769,367,8,6,0.75,1
183.79.249.252-10.42.0.151-443-47264-6,147.32.84.170,3816,125.17.95.61,22,1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
10.42.0.211-23.203.49.224-56950-443-6,172.16.2.11,32245,123.19.36.54,23676,2,10.99,10.99,50,50,106,0,0,0,0,2,0,0,0
182.140.183.58-10.42.0.151-80-56996-6,85.202.16.97,15047,172.16.0.11,22252,2,25.18,11.26888889,79,48.77777778,219,29,19.55555556,113,0,5,3,0.6,0
172.217.12.174-10.42.0.151-443-42814-6,147.32.84.180,3782,174.128.246.102,80,1,2.96,5.128403869,0,32.81559855,96,0,0,0,0,2,0,0,1
10.42.0.211-23.21.51.186-35154-443-6,192.168.1.101,4637,91.195.240.121,80,1,2.37,1.424090909,92,79.22727273,460,10645,6219.909091,11089,0,9,11,1.222222222,1
10.42.0.211-66.102.255.44-42705-443-6,192.168.1.102,3084,195.86.39.11,80,1,2.61,6.6275,0,38.25,80,0,36927.5,0,0,2,0,0,0
172.217.10.78-10.42.0.42-443-50022-6,85.190.0.3,57886,147.32.84.170,443,1,0.92,0.380253623,0,0,60,0,0,80,0,1,2,2,1
10.42.0.42-104.192.110.245-45915-443-6,172.16.2.11,21378,10.0.0.254,53,2,0.28,0.725262759,43,86.91753748,71,68,189.2577616,96,0,1,1,1,0
10.42.0.151-54.148.92.62-56107-443-6,147.32.84.170,1382,111.89.136.227,80,1,2.61,2.61,0,0,336,0,0,128,0,8,3,0.375,1
10.42.0.211-106.11.92.16-35048-443-6,192.168.2.109,1109,203.73.24.75,80,1,0.8,1.355411481,114,92.436188,362,3212,9696.138956,3460,0,6,6,1,0
10.42.0.211-10.42.0.1-50128-53-17,192.168.4.118,2869,125.6.164.43,80,1,0.43,0.491678726,78,72.58900145,286,390,445.260492,558,0,5,4,0.8,0
10.42.0.211-52.84.134.149-48831-443-6,172.16.2.11,32245,12.215.214.255,5903,2,55.15,32.955,150,102.5833333,318,12,55.08333333,180,0,6,6,1,0
203.130.53.126-10.42.0.151-80-33681-6,172.16.0.11,10814,212.95.7.75,53,2,0.11,0.2640539,31,35.32282745,59,233,243.6849378,261,0,1,1,1,0
172.217.9.229-10.42.0.151-443-38097-6,172.16.0.11,11927,212.95.7.75,53,2,0.35,0.2640539,44,35.32282745,72,110,243.6849378,138,0,1,1,1,0
172.217.12.174-10.42.0.151-443-35389-6,172.16.0.11,22252,203.218.39.161,8798,2,7.38,9.738333333,29,44.33333333,113,25,30.83333333,53,0,3,1,0.333333333,0
10.42.0.211-115.239.210.141-50592-443-6,172.16.2.11,32245,58.8.181.217,22441,2,44.76,35.68705882,125,104.4117647,265,8,8,120,0,5,4,0.8,0
10.42.0.211-64.71.142.124-43917-443-6,172.16.0.11,4792,212.95.7.75,53,2,0.12,0.2640539,30,35.32282745,58,257,243.6849378,285,0,1,1,1,0
180.149.136.194-10.42.0.211-443-42465-6,192.168.4.120,3020,64.94.107.26,80,1,0.15,0.1,71,75.36363636,279,474,474,598,0,5,3,0.6,1
10.42.0.211-10.42.0.1-64237-53-17,158.65.110.24,33210,199.59.149.230,80,1,0.22,0.324944945,154,149.7172172,422,1286,1259.554555,1554,1440,5,5,1,1
182.254.5.234-10.42.0.211-80-43393-6,192.168.1.104,19278,205.144.163.154,80,1,0.32,0.397017544,115,87.42105263,403,6894,6396.017544,7222,0,7,8,1.142857143,0
172.217.3.106-10.42.0.211-443-55246-6,192.168.3.116,4546,91.195.240.121,80,1,2.19,1.094215686,64,65.32254902,432,10535,2577.671569,10979,0,9,11,1.222222222,0
10.42.0.211-10.42.0.1-39521-53-17,172.16.2.11,32245,85.234.8.2,12366,2,22.8,37.49352941,81,108.0588235,249,81,157.0588235,249,0,6,6,1,0
10.42.0.211-10.42.0.1-3221-53-17,172.16.2.112,4203,195.228.245.1,110,1,2.98,3.893179104,47,45.28208955,427,63,103.5477612,547,0,9,12,1.333333333,0
10.42.0.211-120.55.89.238-35931-8977-6,192.168.5.122,63049,198.164.30.2,53,2,0.02,0.218568665,47,48.01844964,75,385,234.3900461,413,0,1,1,1,0
10.42.0.211-23.206.125.17-34391-80-6,192.168.3.116,2966,91.195.240.121,80,1,0.53,1.094215686,67,65.32254902,227,900,2577.671569,1104,0,4,5,1.25,0
175.100.207.232-10.42.0.211-443-44539-6,192.168.2.112,2164,192.168.5.122,110,1,0.01,2.331114313,41,160.9212296,369,68,4695.48511,792,0,8,16,2,1
216.58.219.227-10.42.0.151-443-38209-6,147.32.84.170,1551,124.146.225.102,22,1,2.93,1.465,0,0,192,0,0,0,0,4,0,0,1
10.42.0.42-104.97.95.172-47355-80-6,192.168.2.106,4172,208.116.9.82,80,1,0.13,0.4143058,64,64.69595782,312,1666,9420.550088,1914,0,6,6,1,0
173.241.242.143-10.42.0.211-443-47238-6,192.168.5.122,54451,198.164.30.2,53,2,0.01,0.218568665,63,48.01844964,91,198,234.3900461,226,0,1,1,1,1
10.42.0.151-10.42.0.1-49656-53-17,192.168.4.119,2379,203.73.24.75,80,1,0.49,1.125390995,117,95.14218009,405,5647,6479.913507,5935,0,7,7,1,0
10.42.0.1-10.42.0.42-53-34128-17,172.16.2.11,32245,125.19.9.197,1597,2,10.97,21.09333333,50,63.88888889,106,0,0.222222222,0,0,2,0,0,0
10.42.0.211-10.42.0.1-44967-53-17,192.168.3.116,2752,66.114.52.44,80,1,1.3,2.96,63,53,311,7630,12354.33333,7958,0,6,8,1.333333333,0
172.217.10.10-10.42.0.151-443-35972-6,192.168.5.122,60925,198.164.30.2,53,2,0.01,0.218568665,49,48.01844964,77,405,234.3900461,433,0,1,1,1,0
10.42.0.151-10.42.0.1-47201-53-17,158.65.110.24,42250,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
10.42.0.42-98.139.199.205-35117-443-6,166.181.3.154,38812,158.65.110.24,80,1,0.09,0.09,750,750,1002,1448,1448,1660,750,6,5,0.833333333,1
10.42.0.211-10.42.0.1-59886-53-17,147.32.84.180,3750,64.12.139.193,25,1,0,1.643556086,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-64.34.226.87-48681-443-6,158.65.110.24,41851,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
183.79.248.124-10.42.0.211-443-40438-6,192.168.5.122,1706,198.164.30.2,53,2,0.51,0.218568665,44,48.01844964,72,245,234.3900461,273,0,1,1,1,1
219.146.248.94-10.42.0.211-80-46861-6,172.16.2.11,32245,71.136.14.83,28398,2,0.66,30.44909091,27,140.6363636,83,25,130.6363636,53,0,2,1,0.5,0
10.42.0.211-103.235.46.39-42278-80-6,172.16.2.11,32245,122.161.114.75,32837,2,10.99,10.99,50,50,106,0,0,0,0,2,0,0,0
10.42.0.211-104.97.84.76-56627-443-6,147.32.84.160,2664,147.32.80.9,53,2,0,0.839704755,64,106.0653595,120,125,392.7018256,153,0,2,1,0.5,1
202.77.129.150-10.42.0.42-80-36055-6,172.16.0.11,12246,198.151.12.27,25,1,0.1,0.1,1096,1096,1544,188,188,716,0,11,13,1.181818182,0
202.77.129.54-10.42.0.211-80-56895-6,158.65.110.24,36626,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
10.42.0.151-14.29.93.243-40378-80-6,192.168.3.116,4919,62.116.163.221,80,1,1.12,0.968533937,62,57.59728507,270,1250,1128.150226,1458,0,5,5,1,0
172.217.10.67-10.42.0.211-443-60683-6,147.32.84.180,2079,192.33.14.30,53,2,0.32,1.305882353,200,163.6470588,368,371,350.1764706,455,0,6,3,0.5,1
198.51.152.183-10.42.0.211-443-34572-6,172.16.2.11,14563,10.0.0.254,53,2,0.22,0.725262759,37,86.91753748,65,79,189.2577616,107,0,1,1,1,0
183.3.235.80-10.42.0.151-80-36553-6,147.32.84.160,9625,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
10.42.0.211-118.26.161.142-60094-80-6,147.32.84.160,4343,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
10.42.0.151-66.198.24.253-56003-80-6,192.168.1.104,16276,142.166.14.69,80,1,0.27,17.205,145,186.6666667,473,8259,9585.333333,8627,0,8,9,1.125,1
220.243.219.55-10.42.0.211-80-41303-6,192.168.4.118,3581,125.6.164.41,80,1,1.19,1.484672269,36,35.89915966,924,45497,44142.81681,46945,0,22,36,1.636363636,1
182.22.25.252-10.42.0.211-80-52717-6,147.32.84.180,3280,205.188.103.1,25,1,3,1.628115942,0,0,192,0,0,0,0,4,0,0,1
10.42.0.42-123.125.115.164-42098-443-6,192.168.3.115,1819,192.168.5.122,53,2,3.03,4.47353566,67,202.6449165,123,496,5777.728376,608,0,2,4,2,1
10.42.0.151-31.13.71.37-42240-443-6,158.65.110.24,54978,199.59.148.10,80,1,0.25,0.330762916,160,149.8961854,428,1286,1257.438918,1554,1446,5,5,1,1
172.217.10.78-10.42.0.151-443-36652-6,192.168.4.121,51172,65.54.81.62,80,1,15.08,13.06660377,596,545.3962264,848,166,196.245283,338,0,6,4,0.666666667,1
10.42.0.151-10.42.0.1-43697-53-17,192.168.2.106,4315,202.210.143.140,80,1,0.46,0.576616541,63,65.81954887,231,182,206.1654135,390,0,4,5,1.25,0
10.42.0.211-52.84.134.149-48846-443-6,147.32.84.180,1484,193.23.181.44,80,1,3.01,2.462196399,0,23.57119476,96,0,13.67954173,0,0,2,0,0,1
172.217.10.42-10.42.0.42-443-42380-6,172.16.0.11,11615,212.95.7.75,53,2,0.26,0.2640539,36,35.32282745,64,171,243.6849378,199,0,1,1,1,0
202.77.129.161-10.42.0.211-80-47851-6,192.168.1.104,60786,192.168.5.122,22,1,5.23,4.923761855,654,210.5742887,1022,1679,5065.317176,4422,0,9,27,3,1
10.42.0.151-10.42.0.1-3674-53-17,192.168.2.109,3306,203.73.24.75,80,1,0.51,1.355411481,115,92.436188,363,3483,9696.138956,3731,0,6,6,1,1
10.42.0.211-54.192.38.65-58612-443-6,192.168.5.122,32167,198.164.30.2,53,2,0.35,0.218568665,52,48.01844964,80,142,234.3900461,170,0,1,1,1,1
10.42.0.211-31.13.80.5-55247-443-6,158.65.110.24,48716,158.65.12.103,53,2,0,0.012398725,38,38.84084292,66,237,141.052849,0,0,1,0,0,1
10.42.0.42-121.12.98.63-52299-80-6,172.16.2.11,32245,69.66.188.36,8155,2,22.22,18.11333333,336,86.11111111,504,79,28.66666667,219,0,6,5,0.833333333,0
10.42.0.211-10.42.0.1-45446-53-17,192.168.5.122,55083,198.164.30.2,53,2,0.41,0.218568665,56,48.01844964,84,772,234.3900461,800,0,1,1,1,1
10.42.0.151-54.239.17.112-49839-443-6,147.32.84.180,4227,174.37.196.55,80,1,3.01,2.685888689,0,14.15918612,96,0,0,0,0,2,0,0,1
172.217.7.196-10.42.0.211-443-54355-6,147.32.84.180,4833,209.85.225.27,25,1,2.95,1.674977503,0,0,192,0,0,0,0,4,0,0,1
172.217.10.65-10.42.0.211-443-36468-6,192.168.2.109,3764,64.4.31.252,80,1,9.23,3.283333333,194,123.6666667,2682,92327,32596.66667,123431,0,62,84,1.35483871,1
192.229.163.180-10.42.0.211-443-45317-6,192.168.1.103,1914,69.192.24.88,80,1,103.31,20.30436364,1242,604.4,10850,584919,298356.8,601887,0,240,424,1.766666667,1
10.42.0.211-106.11.30.199-45332-80-6,158.65.110.24,60497,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
10.42.0.151-10.42.0.1-26823-53-17,158.65.110.24,49487,199.59.150.39,80,1,0.22,0.358676043,114,149.6818623,382,1286,1259.152764,1554,1400,5,5,1,1
10.42.0.211-104.193.88.109-33989-80-6,147.32.84.160,1956,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.10.78-10.42.0.211-443-42483-6,192.168.2.110,4933,209.85.24.58,80,1,0.8,0.4,67,33.5,1835,109169,54584.5,112257,0,44,77,1.75,1
220.243.235.201-10.42.0.211-80-36280-6,172.16.2.112,2663,202.43.195.13,80,1,3.68,3.68232687,80,79.11357341,220,273,269.9750693,124,80,5,3,0.6,0
10.42.0.211-104.192.110.245-59867-443-6,158.65.110.24,56943,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
10.42.0.151-52.84.29.154-34134-443-6,147.32.84.180,2671,205.188.190.2,25,1,3.01,2.381908397,0,0,96,0,0,0,0,2,0,0,1
183.79.253.233-10.42.0.42-443-49187-6,147.32.84.180,2071,74.6.136.244,25,1,0,2.402297297,0,0,96,0,0,0,0,2,0,0,1
10.42.0.42-66.231.239.95-54586-443-6,172.16.2.11,32245,196.217.27.44,3038,2,54.99,35.37,150,101.9230769,318,10,6.769230769,150,0,6,5,0.833333333,0
192.229.163.180-10.42.0.42-443-36571-6,158.65.110.24,42458,158.65.12.103,53,2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
10.42.0.211-63.250.200.101-58565-443-6,147.32.84.180,2235,31.192.109.167,80,1,0.16,0.2286,229,226.2,874,194,194.2,402,0,10,5,0.5,1
10.42.0.211-123.125.29.220-60495-80-6,147.32.84.180,3813,64.12.90.33,25,1,3.01,2.195535714,0,0,192,0,0,0,0,4,0,0,1
172.217.9.234-10.42.0.151-443-37011-6,192.168.2.109,3305,64.202.188.50,80,1,14.97,4.6775,0,24.75,200,8843,2210.75,9163,0,5,8,1.6,1
10.42.0.42-66.231.239.125-48398-443-6,147.32.84.160,8315,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.10.42-10.42.0.211-443-44191-6,202.89.61.229,37654,158.65.110.24,80,1,0.46,0.623783784,448,452.1351351,768,792,5458.540541,1060,448,6,5,0.833333333,1
10.42.0.151-104.244.43.195-58068-443-6,192.168.2.109,2743,203.73.24.75,80,1,2.61,1.355411481,71,92.436188,279,590,9696.138956,798,0,5,5,1,0
172.217.6.238-10.42.0.211-443-54735-6,192.168.1.101,4891,74.55.1.4,80,1,6.14,14.37256959,271,281.7012848,559,3464,10392.83084,3672,0,7,5,0.714285714,0
10.42.0.42-115.239.210.141-47691-80-6,147.32.84.180,3291,46.4.36.120,443,1,0.03,0.202842975,0,0,48,0,0,40,0,1,1,1,1
173.241.242.143-10.42.0.211-443-58519-6,192.168.5.122,28240,198.164.30.2,53,2,0.18,0.218568665,51,48.01844964,79,231,234.3900461,259,0,1,1,1,1
216.58.217.131-10.42.0.211-443-44969-6,192.168.2.113,3031,192.168.5.122,53,2,0.04,6.473056653,27,214.5072464,55,338,6596.981555,394,0,1,2,2,1
180.149.134.142-10.42.0.42-80-39305-6,158.65.110.24,42047,158.65.12.103,53,2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
10.42.0.211-95.213.11.133-57599-443-6,172.16.0.11,14445,65.54.244.72,25,1,0.05,0.10875,1027,1072.40625,1475,188,188,716,0,11,13,1.181818182,0
157.240.2.36-10.42.0.42-443-48725-6,192.168.4.119,4915,209.202.252.55,80,1,2.18,2.070263158,75,67.42105263,483,13308,11592.5,13832,0,10,13,1.3,1
172.217.10.238-10.42.0.151-443-43899-6,192.168.3.116,4523,62.116.163.221,80,1,1.29,0.968533937,63,57.59728507,271,1250,1128.150226,1458,0,5,5,1,0
172.217.6.206-10.42.0.151-443-46142-6,172.16.2.2,4448,88.226.206.133,46615,1,3.01,3.01,0,0,100,0,0,0,0,2,0,0,0
180.149.136.194-10.42.0.211-80-51570-6,192.168.4.120,1424,208.122.28.4,80,1,21.89,17.70229885,2786,962.3218391,5146,51278,26742.77011,53158,0,59,47,0.796610169,1
10.42.0.211-23.206.166.62-58445-80-6,172.16.2.11,21736,10.0.0.254,53,2,0.06,0.725262759,37,86.91753748,65,197,189.2577616,225,0,1,1,1,0
183.79.250.123-10.42.0.42-443-59118-6,192.168.3.116,2166,82.98.86.183,80,1,3.98,3.179083969,186,306.9720102,794,27264,29075.74046,28148,0,15,22,1.466666667,0
10.42.0.211-10.42.0.1-18972-53-17,147.32.84.160,4855,66.94.236.34,25,1,2.98,1.475447761,0,0,192,0,0,0,0,4,0,0,1
10.42.0.42-66.198.24.253-47876-443-6,158.65.110.24,58390,199.59.149.230,80,1,0.6,0.324944945,155,149.7172172,423,1287,1259.554555,1555,1442,5,5,1,1
10.42.0.42-58.63.236.212-50458-443-6,24.187.101.1,15180,172.16.0.11,22252,2,0.44,11.61647059,27,47.23529412,83,27,25.58823529,83,0,2,2,1,0
174.35.73.165-10.42.0.42-80-52307-6,192.168.3.115,4002,67.20.126.228,80,1,0.19,1.984359862,100,89.78546713,308,583,4809.401384,791,0,5,5,1,0
10.42.0.211-121.12.98.64-57446-80-6,147.32.84.170,2255,208.100.41.22,22,1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
10.42.0.211-104.88.89.135-38024-443-6,147.32.84.160,17246,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
172.217.12.163-10.42.0.211-443-43872-6,172.16.2.11,32245,77.125.168.138,7237,2,56.37,33.41375,150,99.84375,318,12,61.25,180,0,6,6,1,0
10.42.0.151-50.22.240.169-50074-5222-6,158.65.110.24,36230,158.65.12.103,53,2,0.01,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
172.217.10.234-10.42.0.211-443-40382-6,158.65.110.24,55258,199.59.149.230,80,1,0.24,0.324944945,156,149.7172172,424,1203,1259.554555,1471,1359,5,5,1,1
172.217.12.174-10.42.0.151-443-43430-17,147.32.84.160,2421,184.173.217.40,443,1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
